     twomass      |  lspmname   | tic |   kic    |        catra         |        catdec        | spectype |     r_spectype      |  jmag  |  hmag  |  kmag  |  vmag  |   v    |  e_v  |       bibcode       |   prot   | g_prot |       r_prot        
------------------+-------------+-----+----------+----------------------+----------------------+----------+---------------------+--------+--------+--------+--------+--------+-------+---------------------+----------+--------+---------------------
 00051079+4547116 | J0005+4547  |     |          |             0.022609 |             0.799126 | M1.0     | 2013AJ....145..102L |  6.704 |  6.098 |  5.853 |   9.95 |   9.95 |       | 1996AJ....112.2300W |     21.2 |        | 2018A&A...612A..89M
 00123349+2142488 | J0012+2142N |     |          |             0.054795 |             0.378971 | M0.0     | 2013AJ....145..102L |  8.837 |  8.277 |  8.042 |   11.7 |   11.7 |       | 1984ApJS...55..289W |          |        | 
 00123444+2142231 | J0012+2142S |     |          |             0.054866 |             0.378847 |          |                     |  9.662 |  9.098 |  8.863 |   13.2 |   13.2 |       | 1984ApJS...55..289W |          |        | 
 00131578+6919372 | J0013+6919  |     |          |             0.057873 |             1.209984 | M 3      | 1995AJ....110.1838R |  8.556 |  7.984 |  7.746 |  12.44 |  12.44 |       | 1996AJ....112.2300W |          |        | 
 00133880+8039569 | J0013+8039W |     |          |             0.059537 |             1.407884 | M1.5V    | 2015A&A...577A.128A |  7.756 |  7.131 |  6.904 |  11.11 |  11.11 |       | 1988AJ.....96.1710W |          |        | 
 00154919+1333218 | J0015+1333  |     |          |             0.069031 |               0.2366 | M3.0V    | 2010AJ....140..897R |  8.619 |  8.068 |  7.807 |  12.62 |  12.62 |       | 2010AJ....140..897R |          |        | 
 00161455+1951385 | J0016+1951W |     |          |             0.070876 |              0.34663 | M3.6     | 2009ApJ...699..649S |  7.875 |  7.322 |  7.087 |  12.26 |  12.26 |       | 1996AJ....112.2300W |   4.7901 |        | 2007A&A...467..785N
 00161607+1951515 | J0016+1951E |     |          |             0.070987 |             0.346693 | M4.0V    | 2015A&A...577A.128A |  8.893 |  8.339 |  8.097 |  13.21 |  13.21 |       | 1996AJ....112.2300W |          |        | 
 00170635+4056538 | J0017+4056  |     |          |              0.07464 |             0.714683 | K 7      | 1995AJ....110.1838R |  6.385 |  5.748 |  5.577 |   9.02 |   9.02 |       | 1996AJ....112.2300W |          |        | 
 00172021+2910578 | J0017+2910  |     |          |             0.075655 |              0.50934 | M2.0     | 2013AJ....145..102L |  8.152 |  7.499 |  7.241 |  11.52 |  11.52 |       | 1996AJ....112.2300W |          |        | 
 00182256+4401222 | J0018+4401W |     |          |             0.080203 |             0.768345 | M1.5     | 1994AJ....108.1437H |  5.252 |  4.476 |  4.018 |   8.09 |   8.09 |       | 1979ApJS...39...89E |       45 |        | 2018A&A...612A..89M
 00182549+4401376 | J0018+4401E |     |          |             0.080421 |             0.768422 | M3.5     | 1994AJ....108.1437H |  6.789 |  6.191 |  5.948 |  11.06 |  11.06 |       | 1996AJ....112.2300W |          |        | 
 00202922+3305081 | J0020+3305  |     |          |             0.089405 |             0.577444 | M 5.5    | 1995AJ....110.1838R | 10.284 |  9.691 |   9.33 |  16.09 |  16.09 |       | 1988AJ.....96.1710W |          |        | 
 00232865+7711217 | J0023+7711W |     |          |             0.102453 |             1.347207 | M2.0     | 2013AJ....145..102L |  8.042 |   7.39 |  7.187 |  11.31 |  11.31 |       | 1996AJ....112.2300W |          |        | 
 00233165+7711267 | J0023+7711E |     |          |             0.102672 |             1.347233 | M 4      | 1995AJ....110.1838R |  9.934 |  9.358 |   9.11 |   14.1 |   14.1 |       | 1996AJ....112.2300W |          |        | 
 00243478+3002295 | J0024+3002  |     |          |             0.107256 |             0.524324 | M 4.5    | 1995AJ....110.1838R |  9.776 |  9.218 |  8.892 |  14.56 |  14.56 |       | 1987AJ.....93..451W |    1.077 | A      | 2016ApJ...821...93N
 00265268+7008326 | J0026+7008  |     |          |              0.11728 |             1.224216 | M1.0     | 2013AJ....145..102L |  7.411 |  6.742 |  6.568 |  10.53 |  10.53 |       | 1988AJ.....96.1710W |     17.4 |        | 2018A&A...612A..89M
 00270673+4941531 | J0027+4941  |     |          |             0.118303 |             0.867394 | M 4.5    | 1995AJ....110.1838R |  9.733 |   9.16 |  8.852 |  14.25 |  14.25 |       | 1984ApJS...55..289W |          |        | 
 00305564+7322150 | J0030+7322  |     |          |             0.134941 |             1.280562 |          |                     |  8.048 |  7.394 |  7.223 | 10.612 | 10.612 | 0.012 | APASS8              |          |        | 
 00322970+6714080 | J0032+6714N |     |          |             0.141766 |             1.173483 | M2       | 1991ApJS...77..417K |  6.844 |  6.268 |  6.037 | 10.325 | 10.325 |  0.01 | APASS8              |          |        | 
 00343773+7111418 | J0034+7111E |     |          |             0.151091 |             1.242588 | M 3.5    | 1995AJ....110.1838R |  9.465 |  8.878 |  8.669 |  13.53 |  13.53 |       | 1996AJ....112.2300W |          |        | 
 00355322+5241123 | J0035+5241S |     |          |             0.156594 |             0.919557 | M2.5V    | 2015A&A...577A.128A |  8.932 |  8.352 |  8.095 |  12.54 |  12.54 |       | 1996AJ....112.2300W |    52.82 | A      | 2016ApJ...821...93N
 00355358+5241368 | J0035+5241N |     |          |              0.15662 |             0.919675 | M4.0     | 1997PASP..109..849G | 10.625 | 10.077 |   9.79 |   15.1 |   15.1 |       | 1996AJ....112.2300W |          |        | 
 00355557+1028352 | J0035+1028E |     |          |             0.156754 |              0.18285 | M 5      | 1995AJ....110.1838R | 10.222 |  9.656 |  9.367 |  15.32 |  15.32 |       | 1982PASP...94..821W |          |        | 
 00360847+4530575 | J0036+4530  |     |          |             0.157694 |             0.794403 | M2.0     | 2013AJ....145..102L |  8.167 |  7.576 |  7.359 | 11.738 | 11.738 | 0.057 | APASS8              |          |        | 
