TIC_ID,TIC_ra,TIC_dec,TIC_pmra,TIC_pmdec,TIC_Tmag,TIC_contratio,CTL_flag,CST_flag,MovingGroup,NameInLocalFile,LocalFile
81003,221.385327,-26.942685,-25.8,-19.4,7.744,0.0113773393,True,False,USCO-LCC-UCL,J1445-2656,Gagne_BF_clean_format_in.csv
134947,223.0466,-28.2783,-70.42,-121.94,12.626,0.0366631746,True,False,ABDMG,J1452-2816,Gagne_BF_clean_format_in.csv
164844,223.870592,-24.764819,-22.7709,-23.6092,8.761,0.00373362284,True,False,UCL,HD 131622,Gagne_BF_clean_format_in.csv
590241,71.642219,-26.465544,0.0,0.0,12.883,0.0,False,False,COL,J0446-2627,Gagne_BF_clean_format_in.csv
590274,71.706283,-26.302424,33.7947,-5.02622,7.474,0.000216744083,True,False,COL,HIP 22226,Gagne_BF_clean_format_in.csv
615133,72.765992,-27.519731,32.2502,-3.89619,8.089,0.0354820974,True,False,COL,HD 30984,Gagne_BF_clean_format_in.csv
615165,72.766376,-27.43006,31.1117,-2.13543,13.21,0.00252919621,False,False,COL,J0451-2725,Gagne_BF_clean_format_in.csv
1031299,33.9956,-9.4867,106.59,-53.3,9.862,6.458335e-05,True,False,THA,J0215-0929,Gagne_BF_clean_format_in.csv
1100695,155.0034,28.9535,-479.02,-201.1,10.585,0.00125910924,True,True,CARN,G 118-51,Gagne_BF_clean_format_in.csv
1198988,71.428618,-33.805854,-12.9545,26.4695,16.046,0.0,False,False,OCT,J0445-3348,Gagne_BF_clean_format_in.csv
1223040,71.620245,-34.867982,-7.93793,26.1453,13.87,0.0,False,False,OCT,J0446-3452,Gagne_BF_clean_format_in.csv
1364042,73.910761,-33.798291,21.2947,-41.5228,11.699,0.0,False,False,ABDMG,J0455-3347,Gagne_BF_clean_format_in.csv
1441057,74.913632,-34.448519,-5.50735,19.3189,12.48,0.0,False,False,OCT,J0459-3426,Gagne_BF_clean_format_in.csv
1518580,75.307423,-35.845771,-8.89942,18.6578,12.925,0.0,False,False,OCT,J0501-3550,Gagne_BF_clean_format_in.csv
1636399,287.500277,-28.514969,7.27,-50.25,12.302,0.0,False,False,BPMG,J1910-2830,Gagne_BF_clean_format_in.csv
2213642,288.753309,-28.799663,16.3,-43.92,12.704,0.0905526,False,False,BPMG,J1915-2847,Gagne_BF_clean_format_in.csv
2428658,79.9716,31.9927,12.72,-90.31,10.828,0.0180183649,True,True,BPMG,J0519+3159,Gagne_BF_clean_format_in.csv
2743109,246.243124,-48.601396,-17.8659,-32.9798,8.159,0.09116847,True,False,UCL,HD 147558,Gagne_BF_clean_format_in.csv
2761472,356.5801,-11.9453,223.59,-146.48,12.546,0.00361928856,True,False,BPMG,G 273-133,Gagne_BF_clean_format_in.csv
3000015,243.740755,-39.627842,-18.2458,-31.4056,7.122,0.0336702727,False,False,UCL,J1614-3937,Gagne_BF_clean_format_in.csv
3033448,82.146538,32.865993,56.2603,-50.0498,7.971,0.00646242965,True,False,HYA,HD 35768,Gagne_BF_clean_format_in.csv
3084844,243.904763,-41.649605,-19.1452,-28.8199,8.435,0.0256807432,True,False,UCL,J1615-4138,Gagne_BF_clean_format_in.csv
3243257,244.811733,-40.820846,-12.9861,-21.4802,8.484,0.0129059386,True,False,UCL,HD 146681,Gagne_BF_clean_format_in.csv
3321204,82.642424,32.65598,31.0168,-77.443,9.184,0.09131873,True,False,COL,HD 244198,Gagne_BF_clean_format_in.csv
3926262,245.300828,-40.50568,-10.1873,-29.0506,9.639,0.0791508,True,False,UCL,HD 147048,Gagne_BF_clean_format_in.csv
4061225,245.569373,-38.710668,-29.6302,-38.0738,9.567,0.0269920155,True,False,UCL,HD 147236,Gagne_BF_clean_format_in.csv
4069456,80.168385,-5.786396,9.25347,-36.5464,8.038,0.009082875,True,False,BPMG,BD-05 1229,Gagne_BF_clean_format_in.csv
4291395,81.152,-5.5883,1.0,-150.0,13.745,0.38402614,True,False,ABDMG,2MASS J05243648-0535175,Gagne_BF_clean_format_in.csv
4667622,181.096952,24.820699,-11.2589,-10.282,9.361,5.51377052e-05,True,True,CBER,BD+25 2455,Gagne_BF_clean_format_in.csv
