TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,RA (deg),Dec (deg),Mookodi Comp,SHOC Comp
231663901,101.01,,5,5,5,5,5,5,5,86.8,209.9,115.19,0,1,3,KP,KP,12.4069,0.006,,1,spoc-s01-s69-b0A-KP,SPOC,21:14:56.88,-55:52:18.71,12.641,0.044,-16.011,0.041,2458326.009117,0.00013154597,1.43036994965074,7.7233494e-07,1.61659940399439,0.019208942,20.784,0.200653,18960.7122943629,184.79134,13.1874503075824,0.6576402,1281.2408253875,1525.90480889146,151.72173,375.31,4.411,5600.0,,4.48851,,0.890774011611938,0.0438467,,,1.05,0.129454,"1,27,67",2018-09-05,2024-09-06,2024-10-01 12:15:24,WASP-46 b,318.73699999999997,-55.87186388888889,17,2
336732616,103.01,,5,5,5,5,5,5,5,47.7,136.4,116.75,0,0,7,KP,KP,11.5232,0.008,,1,sector-01-spoc-alerts,SPOC,20:49:49.8,-24:25:43.3,10.426,0.07,15.62,0.051,2458327.25256,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,0.196435,1212.004376,1504.858953,59.5,411.211,7.752,6351.0,,4.22896,,1.4,,,,1.27,0.196969,1,2018-09-05,2024-09-06,2024-09-07 00:00:00,HATS-3 b,312.4575,-24.428694444444446,11,3
289793076,108.01,,5,5,5,5,5,5,5,39.1,115.6,99.64,0,0,4,KP,KP,13.163,0.01,,1,spoc,SPOC,21:07:50.76,-26:05:48.19,3.479,0.063,-10.313,0.038,2458328.08383,0.0004391314,3.0440540665342,4.25771e-06,2.59845748018295,0.061165422,24.414911,0.532696,22236.0165376302,490.51093,12.1086799407213,0.2679916,315.987132647374,1075.31845422327,34.314007,421.855,8.339,5523.0,,4.52192,,0.809867978096008,,,,0.95,,"1,28",2018-09-05,2021-10-20,2022-12-14 12:09:24,HATS-13 b,316.9615,-26.096719444444442,19,1
29344935,109.01,,5,5,5,5,5,5,5,33.9,86.9,102.14,0,0,5,KP,KP,13.2366,0.007,,1,spoc-s01-s69-b0A-KP,SPOC,20:52:51.71,-25:41:14.55,1.053,0.052,-9.881,0.029,2458326.127479,0.00047817343,2.76676000983202,2.5341785e-06,2.68721776988127,0.07263539,16.351489,0.315828,14947.4387827137,290.84625,12.2867388747802,0.30639383,505.884007476425,1209.57412285071,41.24269,513.011,9.1275,5346.0,,4.48823,,0.98486602306366,,,,0.93,,"1,28,68",2018-09-05,2024-09-09,2024-10-01 12:15:24,HATS-14 b,313.21545833333334,-25.687375,31,1
97409519,113.01,,5,5,5,5,5,5,5,57.3,67.8,317.0,0,1,1,KP,KP,12.1893,0.006,,1,spoc,SPOC,22:10:51.44,-30:44:58.99,-0.71,0.052,-14.516,0.049,2458327.053085,0.000623,3.372877,0.000147,2.63426,0.043644,18.796923,0.230641,17163.60419,212.40587,14.201803,0.154789,615.165921,1270.187448,81.3,448.637,7.508,6050.0,,4.45061,,1.02,,,,1.17,0.16258,1,2018-09-05,2020-10-27,2022-12-14 12:09:24,WASP-124,332.71433333333334,-30.749719444444445,9,2
281541555,115.01,,5,5,5,5,5,5,5,21.0,78.5,78.84,0,0,0,KP,KP,13.0417,0.006,,1,spoc-s01-s69-b0A-KP,SPOC,00:26:48.63,-56:18:57.97,21.46,0.027,7.316,0.024,2458329.903155,0.00054166454,4.74237090118084,3.127283e-06,2.49881451802706,0.066505075,13.823066,0.267382,12650.8110411006,246.23778,10.5505922405536,0.20499046,209.76990429185,970.634099645996,50.48632,453.808,3.894,5377.0,185.0,4.42476,2.00401,0.877584993839264,,,,0.96,,"1,2,28,29,68,69",2018-10-22,2024-09-09,2024-10-01 12:15:24,HATS-46 b,6.702625,-56.31610277777777,9,2
70440470,126.01,,5,5,5,5,5,5,5,41.8,111.5,124.3,0,0,1,KP,KP,12.7923,0.006,,1,spoc-s01-s36-b0A-CPKP,UNKNOWN,22:37:57.43,-35:09:15.13,-9.326,0.041,-50.142,0.045,2458326.731096,0.00042044988,3.0353977118465,3.6765503e-06,2.79646779523604,0.059945308,17.566776,0.292171,16049.4120426902,269.06363,13.7911582641848,0.73552907,726.756927372002,1324.2410444956,41.57743,573.027,11.688,5751.0,189.0,4.35036,,1.07223999500275,0.053588,,,1.09,0.142327,"1,28",2018-11-07,2021-12-08,2022-12-14 12:09:24,WASP-12 b,339.48929166666665,-35.154202777777776,6,1
2760710,227.01,,5,5,5,5,5,5,5,,,19.13,0,2,2,V,FA,13.8409,0.008,,1,spoc-s02,SPOC,23:46:06.57,-16:41:29.27,-76.094,0.107,-49.799,0.1,2458364.102069,0.0020606022,0.0,0.0,1.51,,33.518483,,30400.0,,2.432614,,0.290998187392869,187.323524526732,11.973635,52.3436,0.23985,2808.0,80.0,5.20628,0.340459,0.128,0.019,,,0.211546,0.0201846,"2,29,69",2018-11-16,2025-01-14,2025-01-14 00:00:00,still a single transit at TBJD ~1364 as of s1-s69 SPOC report; retired as TFOP FA,356.527375,-16.69146388888889,11,3
77044471,228.01,,4,5,5,5,5,4,5,32.1,79.0,123.63,0,0,0,KP,KP,13.2576,0.007,,1,qlp-s29-tois,UNKNOWN,23:54:14.12,-30:00:46.94,20.321,0.048,-2.07,0.033,2459089.518331,0.0017880236,2.68650414920873,5.3006534e-06,2.55247723890796,0.08744798,13.382865,0.369645,12250.4189723593,340.39734,13.7470239341699,0.3625193,994.810565295241,1432.36878094116,28.169575,757.044,13.4985,5738.0,,4.23836,,1.18273997306824,,,,1.06,,"2,29",2018-11-29,2021-12-08,2022-12-14 12:09:24,HATS-16 b; epoch kept from qlp-s29-tois,358.5588333333333,-30.01303888888889,7,1
9727392,236.01,,5,5,5,5,5,5,5,133.5,275.1,317.0,0,1,3,EB,FP,11.2932,0.006,,1,spoc-s02,SPOC,23:53:46.74,-10:53:05.85,0.799,0.084,3.355,0.068,2458355.325711,0.000357,4.534451,0.000118,4.936391,0.025827,25.902599,0.157343,23574.842911,144.90733,23.183789,5.063646,1003.70325925464,1435.55912201186,162.49565,502.927,18.046,6421.5,83.0,4.19,0.16,1.47459,0.322004,-0.31,0.12,1.29,0.198874,2,2018-11-29,2022-10-20,2022-12-14 12:09:24,1700 ppm secondary. Likely EB.,358.44475,-10.884958333333334,6,2
