TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,RA (deg),Dec (deg),Mookodi Comp,SHOC Comp,Num Transits,Transit Times
382188882,276.01,,5,5,5,5,5,5,5,76.9,104.2,317.0,0,1,1,EB,FP,10.6559,0.006,,1,spoc-s01-s65-b0A-PC,SPOC,05:25:24.74,-55:01:11.73,13.499,0.041,-5.494,0.042,2459328.579795,0.0003574,4.80009527427101,1.3182994e-06,1.99686813524526,0.020204738,5.705381,0.052907,5241.0677476381,48.727596,17.071810076895,2.2168117,1043.34405103453,1449.52808917334,161.17955,352.383,2.361,6366.0,197.0,4.16217,0.47536,1.5808299779892,0.0739598,,,1.3,0.211301,"3,4,6,7,9,10,11,13,27,28,30,31,32,33,34,36,37,38,39,63,64,65",2018-11-30,2023-11-01,2023-11-03 12:13:21,TFOP FP/SB1,81.35308333333334,-55.019925,4,2,1,['2025-02-18T20:46:55.349' '2025-02-18T22:46:44.074']
349518800,407.01,,5,5,5,5,3,5,5,24.7,51.8,120.83,0,0,1,PC,APC,12.7862,0.006,,1,qlp-s39-tois,UNKNOWN,07:24:50.81,-62:05:32.75,-10.142,0.025,13.241,0.027,2460015.729011,0.0015368969,2.1654694,2.1e-06,3.408,0.055,5.431386,0.00022,4990.0,0.202474,13.5615,0.637742,2503.96,1970.0,78.0,959.461,11.809,5830.0,333.4,4.26,,1.86,0.09,,,1.24,0.185627,"1,3,4,5,6,7,8,9,10,11,13,27,28,29,30,31,32,33,34,35,36,37,38,39,62,63",2019-01-16,2023-10-02,2023-10-02 00:00:00,TFOP SB1/APC,111.21170833333332,-62.09243055555556,13,2,2,"['2025-02-12T22:27:12.902' '2025-02-13T01:51:41.702'
 '2025-02-23T18:18:35.683' '2025-02-23T21:43:04.483']"
4616072,466.01,,5,5,5,5,5,5,5,25.0,76.2,125.97,0,0,1,KP,KP,12.8893,0.011,,1,spoc,UNKNOWN,06:47:58.62,-21:54:38.56,-3.181,0.017,3.683,0.03,2459201.891355,0.0012581479,4.18761538150302,7.0024894e-06,3.00702168838434,0.076937735,11.906285,0.231688,10906.185708004,213.36957,13.9002368777624,0.6506094,811.350417127502,1361.19976520082,38.59756,772.11,11.145,6675.0,195.0,4.20094,,1.23732995986938,0.0545729,,,1.38,0.23449,"6,7,33",2019-02-22,2021-10-07,2022-12-14 12:09:24,HATS-45 b,101.99425,-21.91071111111111,35,3,1,['2025-02-23T19:23:59.104' '2025-02-23T22:24:24.382']
47911178,471.01,,5,5,5,5,5,5,5,134.9,170.8,317.0,0,3,1,KP,KP,9.79059,0.006,,1,spoc,UNKNOWN,06:33:24.26,-23:29:09.91,-2.569,0.027,24.992,0.043,2459223.302264,0.0001318,3.58570760706554,9.806579e-07,2.70720654082059,0.013635359,12.902492,0.058014,11813.3029259648,53.431217,15.8525901176334,0.73871547,1089.17098631036,1465.18939149256,231.19725,201.224,1.1455,6400.0,,4.34435,,1.34555995464325,0.0625502,,,1.277,0.202523,"6,33",2019-02-27,2021-10-07,2022-12-14 12:09:24,WASP-101 b,98.35108333333334,-23.486086111111117,3,1,1,['2025-02-22T17:50:00.283' '2025-02-22T20:32:26.227']
52640302,473.01,,5,5,5,5,5,5,5,97.9,87.2,317.0,0,0,1,KP,KP,12.0506,0.007,,1,spoc,UNKNOWN,06:44:27.58,-32:51:30.2,-19.389,0.034,-1.123,0.04,2459229.48943,0.0005577108,1.57328484098308,1.0491766e-06,2.42852845218543,0.023683269,18.479024,0.171574,16875.790984932,158.01283,14.72475239213,0.77020836,1563.63736591232,1603.81311149181,75.57263,369.926,3.0025,5400.0,,4.38782,,1.09538996219635,0.0565955,,,1.0,0.122754,"6,7,33,34",2019-02-22,2021-10-07,2022-12-14 12:09:24,WASP-64 b,101.11491666666667,-32.85838888888889,26,1,2,"['2025-02-12T20:08:59.718' '2025-02-12T22:34:42.420'
 '2025-02-23T20:27:42.390' '2025-02-23T22:53:25.092']"
22529346,495.01,,5,5,5,5,5,5,5,324.7,479.1,317.0,0,1,3,KP,KP,10.056,0.006,,1,qlp-s61-ffi,SPOC,07:10:24.06,-39:05:50.17,-3.848,0.04,25.607,0.042,2459986.21062,0.0001842,1.2749246,3e-07,2.783,0.038,20.494396,0.094326,18699.0,86.8734,22.0328,0.876995,6216.41,2473.0,502.0,269.898,1.571,6459.0,,4.24006,,1.52,0.06,,,1.45,0.25252,"7,33,34,61",2019-03-14,2023-04-04,2023-04-07 12:13:06,WASP-121 b,107.60025,-39.09726944444445,6,1,1,['2025-02-17T20:00:56.238' '2025-02-17T22:47:55.038']
88977253,496.01,,5,5,5,5,4,5,5,129.0,277.1,317.0,0,1,2,PC,APC,12.33,0.007,,1,spoc-s07-b01,SPOC,08:12:23.44,-05:46:07.17,-1.076,0.078,0.83,0.052,2458492.708311,0.000567,2.767691,0.000112,1.876437,0.042975,24.919436,0.612722,22690.263354,564.17865,28.980984,14.55595,2360.1000392691,1777.67494987544,68.14428,791.384,29.483,6717.03,158.02,4.2,0.05,1.54739,0.746179,-0.068,0.034,1.46,0.250324,7,2019-03-14,2021-12-07,2022-12-14 12:09:24,TFOP APC; previously retired as EBLM per Coal and SWASP team (dRV=65 km/s; 14 RVs)	,123.09766666666664,-5.768658333333334,17,1,1,['2025-02-16T22:16:33.418' '2025-02-17T00:09:08.591']
280210963,535.01,,5,5,5,5,5,5,5,31.5,37.4,317.0,0,0,4,KP,KP,14.7971,0.014,,1,spoc-s01-s36-b0A-CPKP,SPOC,06:43:03.76,-01:17:47.2,1.694,0.066,-3.475,0.068,2459203.486894,0.0037613336,2.82803914988691,1.2955105e-05,2.62159430961908,0.23963626,31.796317,1.950937,28860.8258277955,1795.2656,17.7603706515225,1.2277269,661.133437816771,1293.27841819271,15.43402,1126.37,55.745,5675.0,,4.37342,,1.03673994541168,,0.17,0.14,1.02,,"6,33",2019-03-28,2021-12-09,2022-12-14 12:09:24,CoRoT-12 b,100.76566666666666,-1.2964444444444445,166,11,1,['2025-02-12T18:16:13.019' '2025-02-12T20:53:30.758']
37168957,545.01,,5,5,5,5,5,5,5,42.1,40.3,317.0,0,0,2,KP,KP,14.2465,0.019,,1,spoc,SPOC,06:32:41.38,-00:01:53.78,2.335,0.068,-3.26,0.066,2459203.608483,0.0013672399,1.90008624738961,3.933117e-06,2.30582320966246,0.096987754,28.287198,0.916312,25717.008585778,843.5981,15.0496207773255,0.5327904,823.700878259345,1366.35053703611,28.292719,764.889,26.699,5440.0,,4.41615,,0.934028029441833,,,,0.97,,"6,33",2019-03-28,2021-12-02,2022-12-14 12:09:24,CoRoT-18 b,98.17241666666666,-0.0316055555555555,54,7,1,['2025-02-22T19:54:46.224' '2025-02-22T22:13:07.188']
192826603,551.01,,5,5,5,5,5,5,5,43.3,125.5,79.63,0,1,0,KP,KP,13.9143,0.007,,1,spoc,SPOC,05:30:51.41,-36:37:51.53,-31.902,0.037,-41.026,0.042,2459203.149174,0.0012524436,2.64730512494267,3.0234894e-06,1.21128096242306,0.054065313,23.451338,1.074933,21367.8824901043,989.5596,10.6134480795676,3.2976332,70.1195731005699,738.039431089912,35.281853,218.121,1.037,3916.0,,4.71907,,0.567866027355194,0.0171805,,,0.561044,0.0204813,"5,6,32,33",2019-06-06,2021-12-02,2022-12-14 12:09:24,NGTS-1 b,82.71420833333333,-36.63098055555555,22,2,1,['2025-02-18T19:47:06.935' '2025-02-18T20:59:47.546']
