,source_id,ra,dec,parallax,pmra,pmdec,bp_rp,phot_g_mean_mag
8,1597431279506511232,237.3900539208961,54.43854290855024,8.570970264313472,-12.584632024621973,-2.5027463489125354,1.8471241,13.416274
11,1596948112865456640,235.05943589206893,53.525705821566575,8.37182588543776,-12.308464246768285,-1.4676342517879628,2.9859304,16.138557
15,1598320543895403648,236.4881535169184,55.14072460794103,8.748484342792718,-14.809428409650904,-1.5272805612495886,3.1419735,16.789137
23,1598183070581618688,234.6885557078102,55.26868014398372,8.843953827982906,-12.69896768037588,-0.5384396960797351,3.4387054,18.20875
25,1598228528516035200,236.47670886168478,54.69214172239814,9.060478909223534,-12.785155188253391,-1.8749327282556998,2.5914812,15.01141
34,1599397515534523392,230.84662340809732,53.607060613532,8.913495022981147,-12.813266750861192,-1.0587101492981428,2.995634,16.062208
40,1599397756052692096,230.84545229682226,53.60879458191372,8.99820804161318,-13.329873375827635,-1.3930313667552925,3.002612,16.047718
42,1599579755290918144,231.00916828671134,54.43914304488101,8.952353237035428,-14.607293570417337,-2.3746647388164677,3.2867718,17.88503
50,1599791690453687168,230.81617176265175,54.84822566566276,9.112350118692204,-13.640954568499751,-1.1769860920338029,1.0460625,10.950133
55,1600587290194879488,229.03339439030935,55.540137655069074,8.50953531193253,-15.090408676390421,-2.82282983312597,1.4405527,12.37889
61,1600477923147759232,229.15259109710024,54.668218700079706,9.181350080302366,-13.226807186673845,-0.5614020707420118,2.4925957,14.664007
62,1601555616341574784,232.52820168736847,56.88083688151657,9.232569321937719,-13.802938548256986,-1.9551991058731262,2.827569,16.01091
65,1600815335778533888,228.2411689176195,56.0464321754477,8.827407518350132,-13.188928159034756,-1.1800642702092576,0.2457676,7.4976926
66,1600815335778533760,228.23962106758486,56.046030474967324,8.863670467328612,-12.770581922076225,-1.687048242574712,0.83827114,10.96054
69,1601415394249322752,231.43721045860676,56.15963181874449,9.373780320896373,-13.902456397327274,-2.284057960730581,2.9213552,16.279186
70,1600709159890974848,229.3624959296781,56.036876996087024,9.194697726562442,-14.110177574210397,-1.873990102452384,3.376793,17.866467
75,1600900204332290048,229.2852153644486,56.203603860553926,9.26579746176363,-13.204818304291141,-0.7540822663221977,2.843194,16.196505
85,1627209971396805504,235.11183589951162,59.86844730260464,8.522471486690476,-12.695000199641402,-3.289288244529564,2.6969147,16.03627
94,1626175468394178176,235.87276263026166,59.005417507421996,8.087335566328008,-12.074171883425926,-2.4422657802707883,3.0342684,16.94137
96,1612918656697817344,227.440115301171,56.86258093096324,9.086616660497118,-15.843508295423835,-2.304868650247742,2.9833937,16.069376
105,1614803047829549824,230.73266373570874,59.39750411320227,8.937997067265044,-14.378878275520107,-2.8507692405244693,3.044691,16.788078
