source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_rp_mean_flux_over_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error
931119295974643968,20.000053745673142,0.017343327,10.433743,1.4371481,411.22214,3606.3787,838.3822
722095297945702144,20.000285193011955,0.02969112,14.993248,2.8993626,703.1444,1599.5051,167.7232
6084676427333622784,20.00054245973107,0.032951854,15.566566,3.362689,957.54517,1884.4958,127.26804
2951163636442230784,20.00074654032046,0.1555286,18.130836,4.202551,185.7621,260.8659,8.325261
3421660600590138112,20.00076316080918,0.40465668,19.52122,3.3832932,56.68439,291.6503,5.4799247
4627582005924009856,20.000851410426762,0.04254893,16.518543,3.8565006,142.02965,1027.4196,17.415134
3515271817986511232,20.001115376344647,0.16966978,18.144468,4.0221024,119.61655,381.01138,11.047683
2513290483661815808,20.001344830499583,0.023239871,14.164962,2.7114563,603.42804,1660.0002,258.11298
1795001802346922368,20.001351256155967,0.017389163,11.261729,1.6862049,2626.253,2930.2883,1216.2987
2796911878868892160,20.001380580839495,0.037415236,15.174673,3.033702,890.5305,1876.2683,148.30193
1160300979976380544,20.00175783563833,0.14677513,17.609777,4.2759857,168.08815,499.52817,10.222135
6713548871705544448,20.001854457359528,0.10303328,16.927956,3.6398869,306.55975,728.7141,21.506493
4586451303158335616,20.001983608609336,0.014737834,13.941639,2.7197552,1656.6063,2275.5603,576.1412
4876066406825047296,20.00212939154184,0.117627256,18.365784,1.1687908,85.288925,831.9259,42.063007
6091497350793143936,20.002273203691313,0.22850566,18.46408,1.247736,71.22308,549.4753,22.465878
644873877612476032,20.002421113740073,0.017914215,9.583755,1.0543966,1901.742,4173.177,1172.959
1382209815468858880,20.002445407631473,0.011299423,13.561688,2.5302992,1201.3474,1971.9396,413.69766
1997317989179808256,20.003245616577118,0.1222941,17.981304,4.1043606,174.65518,693.621,11.89791
3838806279850584320,20.00344465552067,0.018836405,11.88429,1.9265814,2719.4387,3270.4568,1391.5154
2795259862647922560,20.003635039776697,0.015356392,9.593993,1.1569195,4775.0503,9145.316,4060.821
6248604471338023296,20.003713379131913,0.19659434,18.31639,4.51198,153.28648,602.9767,10.56062
2955021341707295616,20.00410335025372,0.027392533,15.446994,2.7516117,1102.9606,2138.4658,183.69167
2779159335925393792,20.00454155758425,0.021013485,13.99316,2.6995058,1276.115,2399.2983,465.67172
283851094355036416,20.00525797188109,0.023102459,14.291882,2.6779308,991.12946,2804.5098,586.82294
6632510707209616768,20.005320684237144,0.01771906,13.558805,2.4423132,903.85223,2563.2183,636.65533
278485615053923200,20.005390923655508,0.019799985,8.438466,0.8106222,3801.5156,6070.5894,2731.3416
6058540108242148864,20.005414152204427,0.3252878,19.532022,,,295.15305,
445225247734316544,20.005571517493127,0.036825303,15.438124,3.1031876,394.65518,1131.2561,158.11
6298316106449937536,20.005694856185922,0.020823317,14.214085,2.4918766,1058.105,1819.1537,527.9043
2833030797185869440,20.005769844112585,0.018590396,12.233984,2.167818,2560.836,2718.4055,1222.8953
2604586198291394176,20.006186712213626,0.025808679,14.22785,2.7464037,667.5873,1156.9474,205.60883
2306776464521125120,20.006352998426014,0.0789852,17.397356,0.7100048,136.48628,1205.7032,131.04819
4592219890913084288,20.00657401881283,0.010341208,12.488233,2.0933037,2650.7036,4317.4077,1484.066
6183120410646841216,20.006858361240802,0.044562533,14.894033,3.0783186,809.5066,1315.2568,146.92484
4491251600692863360,20.00699640313769,0.018553393,14.082232,2.7036934,1231.1364,2226.0156,445.89725
557011735935864576,20.00700954541986,0.047583662,16.32798,3.2846832,765.0288,1458.8824,76.058044
2684315016236748544,20.007270634722104,0.022599436,14.087076,2.731431,1161.7454,2347.3647,486.24258
6104813772337501312,20.007545762574612,0.024503808,13.626085,2.5310154,1923.0903,1370.1202,524.08954
4943347756711486336,20.0078334475108,0.11566854,18.374292,1.114563,79.982994,838.9894,56.2841
133144643307243648,20.008223074710184,0.02673822,14.988824,2.742735,595.1296,1770.4814,312.05783
1500641064755179904,20.00845213040318,0.017562337,14.167806,2.7018356,1065.1176,1937.1948,476.6696
3313346408763839488,20.008532547772884,0.06850339,15.977622,3.6583748,551.07605,1280.7898,60.07172
1646703453563354752,20.00853672435071,0.0379787,16.415949,3.4202251,450.48615,1356.154,64.34373
5369484176926725760,20.00866883592647,0.01626959,13.6443,2.5977268,1464.4556,2996.3188,673.24274
3922653662195500928,20.009149782939154,0.023502804,11.588616,1.8887548,1334.2181,2890.0083,642.5391
3463001864132560768,20.00926534539744,0.016035723,13.347227,2.432579,2224.7153,2978.119,935.0817
2243178959628653312,20.009421848121047,0.06546813,17.431078,0.7552433,182.13487,1324.4023,161.64136
1065829295945871744,20.00955222264547,0.020630863,15.024543,2.748211,796.01636,2247.1243,382.6691
463222054059789312,20.00963509738718,0.051032998,16.479044,3.4303684,624.91833,1249.7563,75.84418
2030879447774285440,20.009678214829528,0.010537496,13.143594,2.3962078,1814.1049,3426.3718,957.44824
1167876585027341184,20.010157402074125,0.11866086,16.938786,4.353204,232.54285,511.82074,11.048879
6054608701362026112,20.01041343939526,0.014613482,12.585021,2.5736132,1831.8441,2550.6506,695.88403
5106607576826623488,20.010435940567987,0.02872888,14.677656,2.937275,1115.1451,1735.6887,147.40231
6124806505798731648,20.01076646429829,0.01997183,13.717497,2.6132975,911.7154,1615.02,330.6241
2377708708408848512,20.011348110987523,0.028301291,14.354882,2.4845867,1159.807,1784.1732,244.97255
6218803892296235776,20.011870907377233,0.017716479,13.010011,2.3628588,935.54065,2179.3994,394.60803
3291649436573851008,20.011905865006625,0.042179827,15.311802,3.1869469,385.15146,822.03674,90.176285
4557974020717024000,20.01215919683998,0.029798545,15.373634,3.0148745,610.1988,1465.0659,138.97112
6091238931209482368,20.01224099216955,0.053345796,16.176876,3.428234,516.104,1127.8597,67.72879
2028017281576098304,20.012912821041862,0.016454265,6.823723,0.7418871,1576.4739,6855.653,3266.1497
4384448580225160320,20.01315607355559,0.811652,19.266321,2.0013885,14.457731,84.081894,7.1162553
717739788793039360,20.013443465035678,0.048482902,15.906926,3.1640043,848.1526,1759.491,137.79033
6635835561655553280,20.014544086627705,0.041632425,15.742732,3.2410746,707.25195,1636.0696,162.1295
3373245530209928576,20.01455765594189,0.013624305,12.283565,2.056219,1793.5775,3293.9268,886.7053
985924865378254464,20.015062211756433,0.030279033,14.999037,2.907525,736.8168,2058.179,333.33127
1114470247251479680,20.01529191471091,0.3216221,19.4443,3.64073,73.222374,359.06042,6.9324927
4704638662720317312,20.015358800104522,0.06573271,17.416592,0.60100937,116.09948,1156.5369,85.40345
1533360774158407680,20.01549963302917,0.03358418,15.272858,3.1282682,639.888,1285.2878,151.88484
72113570347336448,20.015895790767676,0.050137497,15.109287,2.8742104,189.47499,1153.3624,84.225945
3864796879305569920,20.016074265497902,0.024148118,14.207475,2.9837694,379.67227,819.9803,149.75275
754625277166407296,20.01632987815424,0.15837184,17.697674,4.2853413,351.67627,627.6652,13.525991
6479381138692068352,20.016337370479718,0.0144730145,10.418767,1.3819036,2255.8003,4307.8833,1423.8834
1083835860434968576,20.016438107738942,0.1191005,17.247389,4.359988,304.1151,860.77936,14.995799
1316404834821367552,20.016455361298412,0.013711381,12.33708,1.992631,2342.3179,4446.7656,1207.9298
6781765115711841408,20.017144579079552,0.047713883,15.729535,3.230523,812.1784,1730.3354,164.41814
5662605283866303104,20.017151995643058,0.019599464,14.235693,2.478775,1417.2737,2963.225,416.2878
1027354360433100928,20.017167358002173,0.030432507,15.021811,2.8521738,967.97504,1624.5901,202.36282
1193552895955650816,20.01811537614863,0.017433723,10.068571,1.3263254,861.544,2227.9226,480.94955
6914073400035169536,20.018120857976676,0.019532828,8.938067,0.88474464,6412.475,7697.0625,4777.0884
4782685403970381184,20.018268615764207,0.030119099,15.63257,3.2065086,374.31256,968.30725,95.272934
2788927259787530496,20.018288832245627,0.0407074,14.798574,2.8538656,794.47577,1595.0665,253.45348
2464274319719777920,20.018437859477576,0.03949968,15.244692,3.076229,644.9446,1715.7001,240.43571
3460835757505879168,20.01931594426284,0.1031238,17.666641,0.8689823,125.49056,1110.2782,93.465164
859756009169691776,20.019404225215848,0.026405664,15.281539,2.807764,872.3372,2003.8878,236.56004
3709626204892249984,20.01955054525363,0.03186539,15.064483,2.9073677,810.2897,1651.1406,287.67056
6902842648965553280,20.02070142495192,0.23974565,17.119831,1.4104099,10.82137,92.939644,6.080027
2338349628107880192,20.02108332116848,0.032477733,15.355125,0.043209076,179.30782,424.14142,173.12578
2873046565103607296,20.021129817309287,0.016477479,8.875816,0.95574284,4459.5967,8176.5986,3656.4834
4571864803943824000,20.02138414785591,0.014141229,13.609197,2.5422707,2309.5027,3221.9597,817.30566
6309497693027173248,20.021464837110575,0.8002685,20.038515,3.1352673,31.82735,163.14182,4.1401625
2299248864320112512,20.021856612489465,0.14606404,18.173573,4.1378136,146.16406,586.8005,7.743501
5268950777906623104,20.021880722985394,0.010315796,10.305925,1.4061909,1991.2039,3568.8362,1279.6458
5029621043960343552,20.021970693369123,0.040243875,15.758373,3.1965036,963.2185,2116.946,149.17424
3173222379176544000,20.022128714708433,0.01730864,13.787629,2.707406,1552.7664,2585.9456,587.7844
378359474585211008,20.02221630200301,0.019798273,13.972431,2.5735273,1538.7125,3120.2322,650.5071
3833682521305300864,20.022542565364102,0.041052207,15.291992,3.0401716,443.9197,1313.212,110.9145
5400618944600592768,20.022555197621944,0.028630625,14.946634,2.72359,1511.2175,2532.9717,301.02188
6534742820460313728,20.022565205362152,0.032611825,15.44569,2.828189,679.56964,2026.995,189.63515
6391327540254901376,20.022630020838484,0.020639155,14.630375,2.995614,1050.7689,1929.8563,419.66937
3362527426434825088,20.022664908610462,0.050602943,12.617488,,,649.79724,
4105787803566727168,20.022897428364036,0.036150053,15.229389,3.1017923,435.71533,800.0648,141.82027
1292394936843533696,20.02292699057364,0.014119234,13.686995,2.4677458,1113.913,1948.631,369.58667
2756461464558262272,20.023334351072126,0.02774758,8.39538,0.8673639,2956.6282,4846.702,2140.379
4251013979377791104,20.023374600953616,0.3219,19.272818,4.143606,108.22706,336.49078,8.289386
5409615835949607424,20.02350797451922,0.01494353,14.010524,2.4453669,2023.5969,3139.6968,769.70984
5366611359194445824,20.023534227120305,0.09730766,17.339626,4.024028,343.08972,796.4604,23.645737
4790875077673493760,20.02394477331137,0.01405874,12.432221,2.4517756,646.4216,1634.2711,366.37018
465395822908970880,20.024029072337736,0.020174779,14.45472,2.6936426,2053.5364,3954.7644,620.9851
4116041917718664832,20.024233814555867,0.041045234,15.4095955,3.0527725,1140.3375,2103.7373,211.54669
4988735051246293504,20.024276990251124,0.03564657,11.45206,2.150196,46.154404,483.18683,48.59836
3441605161696282624,20.025085932439797,0.022427348,14.381845,2.5183468,1917.2633,3349.4817,631.6991
2918043425636126080,20.025769131541196,0.08276413,17.330835,3.9539576,486.00696,1339.156,26.94959
593819567004974720,20.025811001544096,0.025866322,14.403187,2.6378088,839.1982,2009.1997,327.20087
2914172491871148160,20.026130827836592,0.07798576,17.713736,0.85666084,128.37769,1206.652,89.7267
6822778686132562432,20.02615765076469,0.0213516,14.02133,2.5790997,890.18976,2190.5105,334.69955
2455038495061912832,20.02621848196158,0.054635968,16.244108,3.445651,458.31244,1509.7047,60.107212
935709512206146560,20.026647712660083,0.022949215,12.960215,2.3837776,1087.0204,2077.664,613.2501
3254454671897381120,20.02681854634587,0.24377292,18.573097,4.1092205,125.1727,472.57703,5.0831532
1875741930472284672,20.026906897724558,0.016648741,9.185509,1.016696,4153.5947,7148.417,3324.3313
5945655620235140480,20.02733294106158,0.017802374,14.1209545,2.587986,1047.1864,1975.2395,532.07886
4815079662225121664,20.027392989361765,0.012588477,13.260779,2.6478739,1599.0443,2197.9854,752.63776
1900093639129227136,20.027558521340538,0.022797108,14.728759,2.8586712,925.88184,2153.352,295.17618
1201909218687077120,20.02784225311506,0.016478248,13.248117,2.6176443,1368.8718,2731.6738,647.29205
2064838031864808832,20.028045595023958,0.22367424,19.08487,1.4041939,36.228207,394.6079,20.696909
4228451343646290688,20.02815720879278,0.016477937,10.051121,1.3151321,2922.2927,6203.98,2606.012
394745294513036800,20.028323469265214,0.037461676,15.746945,3.2784472,843.0996,1704.6979,158.44283
6767057567145077504,20.02876222263075,0.01732589,9.683793,1.138442,577.37573,1374.049,412.34143
3195203368962357760,20.028821907504202,0.019255392,8.573246,0.8738661,3287.0508,5654.072,3780.681
6255458792472646400,20.029018573284954,0.020577502,13.8240385,2.6923952,1076.3823,1885.5184,417.28235
350580833003011840,20.02964100569147,0.026961194,8.415382,0.9172158,4411.824,5286.266,3665.4075
950361883331847424,20.02975420694723,0.04846633,15.917061,0.08017063,187.72981,1253.6927,328.30536
163804078373452288,20.029804243932226,0.11476791,17.33066,3.9262218,299.94998,1186.3192,29.783705
4674816235180364160,20.03029360044906,0.016372887,14.590372,2.8511915,1260.1437,2283.5261,427.4931
4101605811065866880,20.030614710760226,0.39231429,19.53469,3.7736073,69.93782,277.4119,3.2813275
5612299328373516416,20.030896047708406,0.015262556,8.24642,0.8661356,4726.1636,8063.761,6135.5293
2811231918309121792,20.03091590610375,0.016709197,13.54673,2.3841124,1873.3208,2571.7705,561.45233
5400618944600593536,20.03101574648349,0.0153467525,10.918323,1.5536804,3707.8733,6819.663,2255.1143
63181034805012224,20.031139820262002,0.018474407,9.109594,1.0337553,139.4205,5206.6064,466.90735
4715697967285258240,20.03114370745141,0.034307044,16.048029,3.4234219,314.61752,859.57086,54.417683
